"startdate","enddate","house","refno","Conservatives","Labour","Liberal.Democrats","SNP","Plaid.Cymru","Greens","UKIP","Other","Total","generic"
270,363,"YouGov",151,22,11,4,0,0,3,7,0,47,TRUE
270,363,"YouGov",152,14,5,0,0,0,0,14,0,33,TRUE
270,363,"YouGov",153,17,14,1,0,0,1,7,0,40,TRUE
270,363,"YouGov",154,2,7,1,0,2,0,2,0,14,TRUE
270,363,"YouGov",155,16,9,4,0,3,1,7,1,41,TRUE
270,363,"YouGov",156,2,3,0,11,0,0,1,1,18,TRUE
270,363,"YouGov",157,20,13,5,0,0,5,12,1,56,TRUE
270,363,"YouGov",158,21,21,2,0,0,3,13,0,60,TRUE
270,363,"YouGov",159,20,10,3,0,0,2,7,0,42,TRUE
270,363,"YouGov",160,15,14,1,0,0,1,6,0,37,TRUE
270,363,"YouGov",161,15,22,1,0,0,1,13,0,52,TRUE
270,363,"YouGov",162,12,3,10,0,0,9,8,0,42,TRUE
270,363,"YouGov",163,29,15,7,0,0,5,17,1,74,TRUE
270,363,"YouGov",164,18,7,7,0,0,5,7,2,46,TRUE
270,363,"YouGov",165,1,11,0,0,0,0,2,1,15,TRUE
270,363,"YouGov",166,11,16,1,0,0,2,7,0,37,TRUE
270,363,"YouGov",167,9,26,1,0,0,2,4,0,42,TRUE
270,363,"YouGov",168,12,14,1,0,0,0,2,1,30,TRUE
270,363,"YouGov",169,14,16,3,0,0,2,9,0,44,TRUE
270,363,"YouGov",170,22,18,1,0,0,0,8,1,50,TRUE
270,363,"YouGov",171,10,12,4,0,0,3,4,0,33,TRUE
270,363,"YouGov",172,25,17,1,0,0,3,7,1,54,TRUE
270,363,"YouGov",173,1,10,0,16,0,1,1,0,29,TRUE
270,363,"YouGov",174,4,10,0,0,3,1,2,0,20,TRUE
270,363,"YouGov",175,5,8,0,0,0,0,9,1,23,TRUE
